route,date,actual_qty,actual_volume
Lodz-Wroclaw,2026-04-04,1799,2698.5
Lodz-Wroclaw,2026-04-05,2282,3423.0
Lodz-Wroclaw,2026-04-06,2846,4269.0
Lodz-Wroclaw,2026-04-07,76,114.0
Naples-Eindhoven,2026-04-01,751,1126.5
Naples-Eindhoven,2026-04-02,2260,3390.0
Naples-Eindhoven,2026-04-03,1861,2791.5
Naples-Eindhoven,2026-04-04,321,481.5
Naples-Eindhoven,2026-04-05,2372,3558.0
Naples-Eindhoven,2026-04-06,3313,4969.5
Naples-Eindhoven,2026-04-07,1575,2362.5
Cologne-Warsaw,2026-04-01,876,1314.0
Cologne-Warsaw,2026-04-02,997,1495.5
Cologne-Warsaw,2026-04-03,87,130.5
Cologne-Warsaw,2026-04-04,368,552.0
Cologne-Warsaw,2026-04-05,1134,1701.0
Cologne-Warsaw,2026-04-06,496,744.0
Cologne-Warsaw,2026-04-07,1026,1539.0
Milan-Poznan,2026-04-01,2935,4402.5
Milan-Poznan,2026-04-02,2588,3882.0
Milan-Poznan,2026-04-03,2105,3157.5
Milan-Poznan,2026-04-04,174,261.0
Milan-Poznan,2026-04-05,1620,2430.0
Milan-Poznan,2026-04-06,1565,2347.5
Milan-Poznan,2026-04-07,2503,3754.5
Glasgow-Nantes,2026-04-01,895,1342.5
Glasgow-Nantes,2026-04-02,2367,3550.5
Glasgow-Nantes,2026-04-03,1474,2211.0
Glasgow-Nantes,2026-04-04,2995,4492.5
Glasgow-Nantes,2026-04-05,3329,4993.5
Glasgow-Nantes,2026-04-06,2103,3154.5
Glasgow-Nantes,2026-04-07,1250,1875.0
Nantes-Glasgow,2026-04-01,3091,4636.5
Nantes-Glasgow,2026-04-02,1824,2736.0
Nantes-Glasgow,2026-04-03,3455,5182.5
Nantes-Glasgow,2026-04-04,3113,4669.5
Nantes-Glasgow,2026-04-05,1280,1920.0
Nantes-Glasgow,2026-04-06,3045,4567.5
Nantes-Glasgow,2026-04-07,3383,5074.5
Lodz-Turin,2026-04-01,2811,4216.5
Lodz-Turin,2026-04-02,2740,4110.0
Lodz-Turin,2026-04-03,2550,3825.0
Lodz-Turin,2026-04-04,1708,2562.0
Lodz-Turin,2026-04-05,288,432.0
Lodz-Turin,2026-04-06,2518,3777.0
Lodz-Turin,2026-04-07,1681,2521.5
London-Manchester,2026-04-01,750,1125.0
London-Manchester,2026-04-02,2416,3624.0
London-Manchester,2026-04-03,1318,1977.0
London-Manchester,2026-04-04,604,906.0
London-Manchester,2026-04-05,1221,1831.5
London-Manchester,2026-04-06,332,498.0
London-Manchester,2026-04-07,2055,3082.5
Lodz-Stuttgart,2026-04-01,952,1428.0
Lodz-Stuttgart,2026-04-02,2329,3493.5
Lodz-Stuttgart,2026-04-03,3190,4785.0
Lodz-Stuttgart,2026-04-04,2040,3060.0
Lodz-Stuttgart,2026-04-05,2373,3559.5
Lodz-Stuttgart,2026-04-06,1276,1914.0
Lodz-Stuttgart,2026-04-07,821,1231.5
Madrid-Paris,2026-04-01,899,1348.5
Madrid-Paris,2026-04-02,3055,4582.5
Madrid-Paris,2026-04-03,2359,3538.5
Madrid-Paris,2026-04-04,3018,4527.0
Madrid-Paris,2026-04-05,2183,3274.5
Madrid-Paris,2026-04-06,2986,4479.0
Madrid-Paris,2026-04-07,2355,3532.5
Manchester-Liverpool,2026-04-01,1028,1542.0
Manchester-Liverpool,2026-04-02,2415,3622.5
Manchester-Liverpool,2026-04-03,2128,3192.0
Manchester-Liverpool,2026-04-04,1836,2754.0
Manchester-Liverpool,2026-04-05,1723,2584.5
Manchester-Liverpool,2026-04-06,2757,4135.5
Manchester-Liverpool,2026-04-07,709,1063.5
Valencia-Cologne,2026-04-01,921,1381.5
Valencia-Cologne,2026-04-02,757,1135.5
Valencia-Cologne,2026-04-03,1435,2152.5
Valencia-Cologne,2026-04-04,1837,2755.5
Valencia-Cologne,2026-04-05,1824,2736.0
Valencia-Cologne,2026-04-06,1587,2380.5
Valencia-Cologne,2026-04-07,990,1485.0
Lodz-Malaga,2026-04-01,794,1191.0
Lodz-Malaga,2026-04-02,2158,3237.0
Lodz-Malaga,2026-04-03,3329,4993.5
Lodz-Malaga,2026-04-04,976,1464.0
Lodz-Malaga,2026-04-05,1525,2287.5
Lodz-Malaga,2026-04-06,3059,4588.5
Lodz-Malaga,2026-04-07,808,1212.0
Rotterdam-Utrecht,2026-04-01,2653,3979.5
Rotterdam-Utrecht,2026-04-02,3093,4639.5
Rotterdam-Utrecht,2026-04-03,511,766.5
Rotterdam-Utrecht,2026-04-04,2651,3976.5
Rotterdam-Utrecht,2026-04-05,2265,3397.5
Rotterdam-Utrecht,2026-04-06,1970,2955.0
Rotterdam-Utrecht,2026-04-07,2617,3925.5
Naples-Warsaw,2026-04-01,1955,2932.5
Naples-Warsaw,2026-04-02,1561,2341.5
Naples-Warsaw,2026-04-03,608,912.0
Naples-Warsaw,2026-04-04,2050,3075.0
Naples-Warsaw,2026-04-05,2791,4186.5
Naples-Warsaw,2026-04-06,3170,4755.0
Naples-Warsaw,2026-04-07,723,1084.5
Turin-Munich,2026-04-01,2374,3561.0
Turin-Munich,2026-04-02,1564,2346.0
Turin-Munich,2026-04-03,2286,3429.0
Turin-Munich,2026-04-04,2684,4026.0
Turin-Munich,2026-04-05,2976,4464.0
Turin-Munich,2026-04-06,1330,1995.0
Turin-Munich,2026-04-07,291,436.5
Warsaw-Turin,2026-04-01,2772,4158.0
Warsaw-Turin,2026-04-02,1910,2865.0
Warsaw-Turin,2026-04-03,1508,2262.0
Warsaw-Turin,2026-04-04,2839,4258.5
Warsaw-Turin,2026-04-05,1287,1930.5
Warsaw-Turin,2026-04-06,1931,2896.5
Warsaw-Turin,2026-04-07,904,1356.0
Valencia-Milan,2026-04-01,486,729.0
Valencia-Milan,2026-04-02,543,814.5
Valencia-Milan,2026-04-03,2118,3177.0
Valencia-Milan,2026-04-04,3190,4785.0
Valencia-Milan,2026-04-05,1368,2052.0
Valencia-Milan,2026-04-06,1688,2532.0
Valencia-Milan,2026-04-07,1601,2401.5
Wroclaw-Turin,2026-04-01,358,537.0
Wroclaw-Turin,2026-04-02,1444,2166.0
Wroclaw-Turin,2026-04-03,1677,2515.5
Wroclaw-Turin,2026-04-04,1146,1719.0
Wroclaw-Turin,2026-04-05,1325,1987.5
Wroclaw-Turin,2026-04-06,2245,3367.5
Wroclaw-Turin,2026-04-07,2421,3631.5
Hamburg-The Hague,2026-04-01,1543,2314.5
Hamburg-The Hague,2026-04-02,1073,1609.5
Hamburg-The Hague,2026-04-03,96,144.0
Hamburg-The Hague,2026-04-04,1672,2508.0
Hamburg-The Hague,2026-04-05,646,969.0
Hamburg-The Hague,2026-04-06,1277,1915.5
Hamburg-The Hague,2026-04-07,829,1243.5
Madrid-Rome,2026-04-01,3471,5206.5
Madrid-Rome,2026-04-02,1468,2202.0
Madrid-Rome,2026-04-03,1120,1680.0
Madrid-Rome,2026-04-04,3432,5148.0
Madrid-Rome,2026-04-05,2724,4086.0
Madrid-Rome,2026-04-06,1375,2062.5
Madrid-Rome,2026-04-07,2230,3345.0
Eindhoven-Lyon,2026-04-01,3059,4588.5
Eindhoven-Lyon,2026-04-02,1803,2704.5
Eindhoven-Lyon,2026-04-03,3320,4980.0
Eindhoven-Lyon,2026-04-04,931,1396.5
Eindhoven-Lyon,2026-04-05,2888,4332.0
Eindhoven-Lyon,2026-04-06,56,84.0
Eindhoven-Lyon,2026-04-07,3331,4996.5
Poznan-Valencia,2026-04-01,566,849.0
Poznan-Valencia,2026-04-02,1803,2704.5
Poznan-Valencia,2026-04-03,2814,4221.0
Poznan-Valencia,2026-04-04,1527,2290.5
Poznan-Valencia,2026-04-05,442,663.0
Poznan-Valencia,2026-04-06,1387,2080.5
Poznan-Valencia,2026-04-07,2984,4476.0
Wroclaw-Marseille,2026-04-01,1699,2548.5
Wroclaw-Marseille,2026-04-02,2620,3930.0
Wroclaw-Marseille,2026-04-03,1565,2347.5
Wroclaw-Marseille,2026-04-04,2531,3796.5
Wroclaw-Marseille,2026-04-05,2376,3564.0
Wroclaw-Marseille,2026-04-06,1533,2299.5
Wroclaw-Marseille,2026-04-07,152,228.0
Barcelona-Liverpool,2026-04-01,746,1119.0
Barcelona-Liverpool,2026-04-02,246,369.0
Barcelona-Liverpool,2026-04-03,1947,2920.5
Barcelona-Liverpool,2026-04-04,1251,1876.5
Barcelona-Liverpool,2026-04-05,319,478.5
Barcelona-Liverpool,2026-04-06,3398,5097.0
Barcelona-Liverpool,2026-04-07,1819,2728.5
Warsaw-Glasgow,2026-04-01,773,1159.5
Warsaw-Glasgow,2026-04-02,3108,4662.0
Warsaw-Glasgow,2026-04-03,2213,3319.5
Warsaw-Glasgow,2026-04-04,3376,5064.0
Warsaw-Glasgow,2026-04-05,643,964.5
Warsaw-Glasgow,2026-04-06,3313,4969.5
Warsaw-Glasgow,2026-04-07,426,639.0
Rotterdam-Bristol,2026-04-01,771,1156.5
Rotterdam-Bristol,2026-04-02,1739,2608.5
Rotterdam-Bristol,2026-04-03,1066,1599.0
Rotterdam-Bristol,2026-04-04,3405,5107.5
Rotterdam-Bristol,2026-04-05,3216,4824.0
Rotterdam-Bristol,2026-04-06,1132,1698.0
Rotterdam-Bristol,2026-04-07,1116,1674.0
Eindhoven-Manchester,2026-04-01,266,399.0
Eindhoven-Manchester,2026-04-02,1125,1687.5
Eindhoven-Manchester,2026-04-03,1819,2728.5
Eindhoven-Manchester,2026-04-04,2845,4267.5
Eindhoven-Manchester,2026-04-05,3458,5187.0
Eindhoven-Manchester,2026-04-06,3242,4863.0
Eindhoven-Manchester,2026-04-07,1529,2293.5
Genoa-Hamburg,2026-04-01,842,1263.0
Genoa-Hamburg,2026-04-02,2324,3486.0
Genoa-Hamburg,2026-04-03,128,192.0
Genoa-Hamburg,2026-04-04,1456,2184.0
Genoa-Hamburg,2026-04-05,645,967.5
Genoa-Hamburg,2026-04-06,823,1234.5
Genoa-Hamburg,2026-04-07,206,309.0
Cologne-Liverpool,2026-04-01,617,925.5
Cologne-Liverpool,2026-04-02,1077,1615.5
Cologne-Liverpool,2026-04-03,2356,3534.0
Cologne-Liverpool,2026-04-04,2208,3312.0
Cologne-Liverpool,2026-04-05,3129,4693.5
Cologne-Liverpool,2026-04-06,2749,4123.5
Cologne-Liverpool,2026-04-07,2860,4290.0
Paris-Zaragoza,2026-04-01,2342,3513.0
Paris-Zaragoza,2026-04-02,3548,5322.0
Paris-Zaragoza,2026-04-03,402,603.0
Paris-Zaragoza,2026-04-04,2180,3270.0
Paris-Zaragoza,2026-04-05,3432,5148.0
Paris-Zaragoza,2026-04-06,717,1075.5
Paris-Zaragoza,2026-04-07,1988,2982.0
Genoa-Marseille,2026-04-01,2743,4114.5
Genoa-Marseille,2026-04-02,3450,5175.0
Genoa-Marseille,2026-04-03,2689,4033.5
Genoa-Marseille,2026-04-04,371,556.5
Genoa-Marseille,2026-04-05,1039,1558.5
Genoa-Marseille,2026-04-06,1948,2922.0
Genoa-Marseille,2026-04-07,2471,3706.5
Munich-Marseille,2026-04-01,2795,4192.5
Munich-Marseille,2026-04-02,1645,2467.5
Munich-Marseille,2026-04-03,3227,4840.5
Munich-Marseille,2026-04-04,888,1332.0
Munich-Marseille,2026-04-05,3545,5317.5
Munich-Marseille,2026-04-06,1858,2787.0
Munich-Marseille,2026-04-07,2187,3280.5
Liverpool-Toulouse,2026-04-01,569,853.5
Liverpool-Toulouse,2026-04-02,2262,3393.0
Liverpool-Toulouse,2026-04-03,2047,3070.5
Liverpool-Toulouse,2026-04-04,1513,2269.5
Liverpool-Toulouse,2026-04-05,2805,4207.5
Liverpool-Toulouse,2026-04-06,3032,4548.0
Liverpool-Toulouse,2026-04-07,254,381.0
Warsaw-Rome,2026-04-01,983,1474.5
Warsaw-Rome,2026-04-02,133,199.5
Warsaw-Rome,2026-04-03,2710,4065.0
Warsaw-Rome,2026-04-04,84,126.0
Warsaw-Rome,2026-04-05,617,925.5
Warsaw-Rome,2026-04-06,93,139.5
Warsaw-Rome,2026-04-07,767,1150.5
Poznan-Milan,2026-04-01,913,1369.5
Poznan-Milan,2026-04-02,2892,4338.0
Poznan-Milan,2026-04-03,949,1423.5
Poznan-Milan,2026-04-04,2489,3733.5
Poznan-Milan,2026-04-05,2914,4371.0
Poznan-Milan,2026-04-06,2857,4285.5
Poznan-Milan,2026-04-07,100,150.0
Palermo-Paris,2026-04-01,2867,4300.5
Palermo-Paris,2026-04-02,2961,4441.5
Palermo-Paris,2026-04-03,1776,2664.0
Palermo-Paris,2026-04-04,744,1116.0
Palermo-Paris,2026-04-05,1260,1890.0
Palermo-Paris,2026-04-06,696,1044.0
Palermo-Paris,2026-04-07,1972,2958.0
Warsaw-Madrid,2026-04-01,345,517.5
Warsaw-Madrid,2026-04-02,1181,1771.5
Warsaw-Madrid,2026-04-03,1075,1612.5
Warsaw-Madrid,2026-04-04,2653,3979.5
Warsaw-Madrid,2026-04-05,1496,2244.0
Warsaw-Madrid,2026-04-06,1570,2355.0
Warsaw-Madrid,2026-04-07,247,370.5
Amsterdam-London,2026-04-01,2634,3951.0
Amsterdam-London,2026-04-02,2584,3876.0
Amsterdam-London,2026-04-03,2343,3514.5
Amsterdam-London,2026-04-04,841,1261.5
Amsterdam-London,2026-04-05,2118,3177.0
Amsterdam-London,2026-04-06,941,1411.5
Amsterdam-London,2026-04-07,2860,4290.0
Genoa-Valencia,2026-04-01,1363,2044.5
Genoa-Valencia,2026-04-02,511,766.5
Genoa-Valencia,2026-04-03,1580,2370.0
Genoa-Valencia,2026-04-04,2167,3250.5
Genoa-Valencia,2026-04-05,350,525.0
Genoa-Valencia,2026-04-06,2124,3186.0
Genoa-Valencia,2026-04-07,401,601.5
Malaga-Nantes,2026-04-01,534,801.0
Malaga-Nantes,2026-04-02,308,462.0
Malaga-Nantes,2026-04-03,3197,4795.5
Malaga-Nantes,2026-04-04,1225,1837.5
Malaga-Nantes,2026-04-05,351,526.5
Malaga-Nantes,2026-04-06,3286,4929.0
Malaga-Nantes,2026-04-07,1862,2793.0
Paris-Nantes,2026-04-01,1037,1555.5
Paris-Nantes,2026-04-02,1290,1935.0
Paris-Nantes,2026-04-03,2235,3352.5
Paris-Nantes,2026-04-04,1546,2319.0
Paris-Nantes,2026-04-05,1321,1981.5
Paris-Nantes,2026-04-06,1709,2563.5
Paris-Nantes,2026-04-07,361,541.5
Lyon-Barcelona,2026-04-01,2805,4207.5
Lyon-Barcelona,2026-04-02,2101,3151.5
Lyon-Barcelona,2026-04-03,129,193.5
Lyon-Barcelona,2026-04-04,647,970.5
Lyon-Barcelona,2026-04-05,3333,4999.5
Lyon-Barcelona,2026-04-06,557,835.5
Lyon-Barcelona,2026-04-07,3359,5038.5
Munich-The Hague,2026-04-01,1892,2838.0
Munich-The Hague,2026-04-02,429,643.5
Munich-The Hague,2026-04-03,561,841.5
Munich-The Hague,2026-04-04,917,1375.5
Munich-The Hague,2026-04-05,1198,1797.0
Munich-The Hague,2026-04-06,1197,1795.5
Munich-The Hague,2026-04-07,764,1146.0
Frankfurt-Toulouse,2026-04-01,2143,3214.5
Frankfurt-Toulouse,2026-04-02,2153,3229.5
Frankfurt-Toulouse,2026-04-03,317,475.5
Frankfurt-Toulouse,2026-04-04,2540,3810.0
Frankfurt-Toulouse,2026-04-05,1894,2841.0
Frankfurt-Toulouse,2026-04-06,2255,3382.5
Frankfurt-Toulouse,2026-04-07,63,94.5
Amsterdam-Lyon,2026-04-01,421,631.5
Amsterdam-Lyon,2026-04-02,884,1326.0
Amsterdam-Lyon,2026-04-03,378,567.0
Amsterdam-Lyon,2026-04-04,2179,3268.5
Amsterdam-Lyon,2026-04-05,1280,1920.0
Amsterdam-Lyon,2026-04-06,2356,3534.0
Amsterdam-Lyon,2026-04-07,1400,2100.0
Lodz-Cologne,2026-04-01,1656,2484.0
Lodz-Cologne,2026-04-02,2972,4458.0
Lodz-Cologne,2026-04-03,466,699.0
Lodz-Cologne,2026-04-04,1635,2452.5
Lodz-Cologne,2026-04-05,1557,2335.5
Lodz-Cologne,2026-04-06,1824,2736.0
Lodz-Cologne,2026-04-07,3460,5190.0
Wroclaw-Lyon,2026-04-01,1043,1564.5
Wroclaw-Lyon,2026-04-02,3085,4627.5
Wroclaw-Lyon,2026-04-03,834,1251.0
Wroclaw-Lyon,2026-04-04,2577,3865.5
Wroclaw-Lyon,2026-04-05,135,202.5
Wroclaw-Lyon,2026-04-06,3490,5235.0
Wroclaw-Lyon,2026-04-07,1986,2979.0
Amsterdam-Madrid,2026-04-01,2577,3865.5
Amsterdam-Madrid,2026-04-02,641,961.5
Amsterdam-Madrid,2026-04-03,2602,3903.0
Amsterdam-Madrid,2026-04-04,1768,2652.0
Amsterdam-Madrid,2026-04-05,418,627.0
Amsterdam-Madrid,2026-04-06,672,1008.0
Amsterdam-Madrid,2026-04-07,1411,2116.5
Eindhoven-Utrecht,2026-04-01,2052,3078.0
Eindhoven-Utrecht,2026-04-02,1754,2631.0
Eindhoven-Utrecht,2026-04-03,2325,3487.5
Eindhoven-Utrecht,2026-04-04,2029,3043.5
Eindhoven-Utrecht,2026-04-05,1811,2716.5
Eindhoven-Utrecht,2026-04-06,3043,4564.5
Eindhoven-Utrecht,2026-04-07,3380,5070.0
Lyon-Poznan,2026-04-01,747,1120.5
Lyon-Poznan,2026-04-02,1309,1963.5
Lyon-Poznan,2026-04-03,2405,3607.5
Lyon-Poznan,2026-04-04,2429,3643.5
Lyon-Poznan,2026-04-05,1626,2439.0
Lyon-Poznan,2026-04-06,1526,2289.0
Lyon-Poznan,2026-04-07,1033,1549.5
Birmingham-Milan,2026-04-01,3355,5032.5
Birmingham-Milan,2026-04-02,2838,4257.0
Birmingham-Milan,2026-04-03,65,97.5
Birmingham-Milan,2026-04-04,1179,1768.5
Birmingham-Milan,2026-04-05,1152,1728.0
Birmingham-Milan,2026-04-06,1712,2568.0
Birmingham-Milan,2026-04-07,1202,1803.0
Nice-Milan,2026-04-01,467,700.5
Nice-Milan,2026-04-02,2597,3895.5
Nice-Milan,2026-04-03,954,1431.0
Nice-Milan,2026-04-04,347,520.5
Nice-Milan,2026-04-05,2138,3207.0
Nice-Milan,2026-04-06,2672,4008.0
Nice-Milan,2026-04-07,1664,2496.0
Utrecht-Toulouse,2026-04-01,2415,3622.5
Utrecht-Toulouse,2026-04-02,1169,1753.5
Utrecht-Toulouse,2026-04-03,445,667.5
Utrecht-Toulouse,2026-04-04,801,1201.5
Utrecht-Toulouse,2026-04-05,52,78.0
Utrecht-Toulouse,2026-04-06,1532,2298.0
Utrecht-Toulouse,2026-04-07,2327,3490.5
Zaragoza-Glasgow,2026-04-01,1378,2067.0
Zaragoza-Glasgow,2026-04-02,3433,5149.5
Zaragoza-Glasgow,2026-04-03,512,768.0
Zaragoza-Glasgow,2026-04-04,434,651.0
Zaragoza-Glasgow,2026-04-05,2713,4069.5
Zaragoza-Glasgow,2026-04-06,2540,3810.0
Zaragoza-Glasgow,2026-04-07,140,210.0
Birmingham-Lodz,2026-04-01,2295,3442.5
Birmingham-Lodz,2026-04-02,2229,3343.5
Birmingham-Lodz,2026-04-03,3422,5133.0
Birmingham-Lodz,2026-04-04,2695,4042.5
Birmingham-Lodz,2026-04-05,1068,1602.0
Birmingham-Lodz,2026-04-06,2695,4042.5
Birmingham-Lodz,2026-04-07,3501,5251.5
Krakow-Barcelona,2026-04-01,912,1368.0
Krakow-Barcelona,2026-04-02,2449,3673.5
Krakow-Barcelona,2026-04-03,1351,2026.5
Krakow-Barcelona,2026-04-04,776,1164.0
Krakow-Barcelona,2026-04-05,2355,3532.5
Krakow-Barcelona,2026-04-06,1651,2476.5
Krakow-Barcelona,2026-04-07,997,1495.5
Barcelona-Lodz,2026-04-01,885,1327.5
Barcelona-Lodz,2026-04-02,1929,2893.5
Barcelona-Lodz,2026-04-03,981,1471.5
Barcelona-Lodz,2026-04-04,704,1056.0
Barcelona-Lodz,2026-04-05,1129,1693.5
Barcelona-Lodz,2026-04-06,73,109.5
Barcelona-Lodz,2026-04-07,3003,4504.5
Marseille-Lodz,2026-04-01,3539,5308.5
Marseille-Lodz,2026-04-02,1430,2145.0
Marseille-Lodz,2026-04-03,1037,1555.5
Marseille-Lodz,2026-04-04,2567,3850.5
Marseille-Lodz,2026-04-05,274,411.0
Marseille-Lodz,2026-04-06,3160,4740.0
Marseille-Lodz,2026-04-07,1199,1798.5
Poznan-The Hague,2026-04-01,1345,2017.5
Poznan-The Hague,2026-04-02,1299,1948.5
Poznan-The Hague,2026-04-03,1454,2181.0
Poznan-The Hague,2026-04-04,3432,5148.0
Poznan-The Hague,2026-04-05,2415,3622.5
Poznan-The Hague,2026-04-06,1602,2403.0
Poznan-The Hague,2026-04-07,262,393.0
Turin-Rotterdam,2026-04-01,1092,1638.0
Turin-Rotterdam,2026-04-02,1876,2814.0
Turin-Rotterdam,2026-04-03,900,1350.0
Turin-Rotterdam,2026-04-04,383,574.5
Turin-Rotterdam,2026-04-05,59,88.5
Turin-Rotterdam,2026-04-06,1167,1750.5
Turin-Rotterdam,2026-04-07,1686,2529.0
Birmingham-Turin,2026-04-01,852,1278.0
Birmingham-Turin,2026-04-02,100,150.0
Birmingham-Turin,2026-04-03,1970,2955.0
Birmingham-Turin,2026-04-04,426,639.0
Birmingham-Turin,2026-04-05,1620,2430.0
Birmingham-Turin,2026-04-06,2916,4374.0
Birmingham-Turin,2026-04-07,1541,2311.5
Utrecht-Malaga,2026-04-01,104,156.0
Utrecht-Malaga,2026-04-02,554,831.0
Utrecht-Malaga,2026-04-03,2481,3721.5
Utrecht-Malaga,2026-04-04,2051,3076.5
Utrecht-Malaga,2026-04-05,802,1203.0
Utrecht-Malaga,2026-04-06,1580,2370.0
Utrecht-Malaga,2026-04-07,3278,4917.0
London-Paris,2026-04-01,1544,2316.0
London-Paris,2026-04-02,3408,5112.0
London-Paris,2026-04-03,366,549.0
London-Paris,2026-04-04,1343,2014.5
London-Paris,2026-04-05,840,1260.0
London-Paris,2026-04-06,3129,4693.5
London-Paris,2026-04-07,1558,2337.0
Birmingham-Berlin,2026-04-01,2936,4404.0
Birmingham-Berlin,2026-04-02,1553,2329.5
Birmingham-Berlin,2026-04-03,838,1257.0
